sequence,fake_file,FID
K04_A001_R04,K04_A001_R04_label_0.npy,20.59489999419336
K04_A002_R01,K04_A002_R01_label_1.npy,17.823690249492703
K04_A002_R02,K04_A002_R02_label_1.npy,65.2624052517314
K04_A002_R03,K04_A002_R03_label_1.npy,55.98194320806292
K04_A002_R04,K04_A002_R04_label_1.npy,7.926054529507087
K04_A003_R01,K04_A003_R01_label_2.npy,21.326211631655674
K04_A003_R02,K04_A003_R02_label_2.npy,23.992208540797748
K04_A003_R03,K04_A003_R03_label_2.npy,35.54769689695839
K04_A003_R04,K04_A003_R04_label_2.npy,27.831411558917388
K04_A004_R01,K04_A004_R01_label_3.npy,3.545718395246113
K04_A004_R02,K04_A004_R02_label_3.npy,2.02137104813846
K04_A004_R03,K04_A004_R03_label_3.npy,6.066010573360722
K04_A004_R04,K04_A004_R04_label_3.npy,4.788663966016412
K04_A005_R01,K04_A005_R01_label_4.npy,3.734696251028497
K04_A005_R02,K04_A005_R02_label_4.npy,37.16161074039197
K04_A005_R03,K04_A005_R03_label_4.npy,36.15289856068927
K04_A005_R04,K04_A005_R04_label_4.npy,7.53830051046785
K04_A006_R01,K04_A006_R01_label_5.npy,57.03870733233296
K04_A006_R02,K04_A006_R02_label_5.npy,67.15620044434348
K04_A006_R03,K04_A006_R03_label_5.npy,56.95050240761394
K04_A006_R04,K04_A006_R04_label_5.npy,69.18064129726608
K04_A007_R01,K04_A007_R01_label_6.npy,36.066472621039914
K04_A007_R02,K04_A007_R02_label_6.npy,61.982938950512874
K04_A007_R03,K04_A007_R03_label_6.npy,48.063906599435526
K04_A007_R04,K04_A007_R04_label_6.npy,46.114685067833975
K04_A008_R01,K04_A008_R01_label_7.npy,19.80505016425452
K04_A008_R02,K04_A008_R02_label_7.npy,16.89460005154619
K04_A008_R03,K04_A008_R03_label_7.npy,18.640225153920863
K04_A008_R04,K04_A008_R04_label_7.npy,11.538552413136179
K04_A009_R01,K04_A009_R01_label_8.npy,35.7362411220007
K04_A009_R02,K04_A009_R02_label_8.npy,78.05523032968034
K04_A009_R03,K04_A009_R03_label_8.npy,87.20733646273463
K04_A009_R04,K04_A009_R04_label_8.npy,50.29435155163697
K04_A010_R01,K04_A010_R01_label_9.npy,41.33377905648645
K04_A010_R02,K04_A010_R02_label_9.npy,37.332428290724266
K04_A010_R03,K04_A010_R03_label_9.npy,45.38129428028706
K04_A010_R04,K04_A010_R04_label_9.npy,41.05409227986692
K04_A011_R01,K04_A011_R01_label_10.npy,24.569458839203552
K04_A011_R02,K04_A011_R02_label_10.npy,27.682564910031097
K04_A011_R03,K04_A011_R03_label_10.npy,25.642724801237378
K04_A011_R04,K04_A011_R04_label_10.npy,23.23727030473242
K04_A012_R01,K04_A012_R01_label_11.npy,42.73979661693083
K04_A012_R02,K04_A012_R02_label_11.npy,38.72727325115994
K04_A012_R03,K04_A012_R03_label_11.npy,49.963596760585794
K04_A012_R04,K04_A012_R04_label_11.npy,35.7071847720141
K04_A013_R01,K04_A013_R01_label_12.npy,7.23085456658295
K04_A013_R02,K04_A013_R02_label_12.npy,4.669800677715367
K04_A013_R03,K04_A013_R03_label_12.npy,23.76281395895269
K04_A013_R04,K04_A013_R04_label_12.npy,17.84068090992412
K04_A014_R01,K04_A014_R01_label_13.npy,16.785920696972653
K04_A014_R02,K04_A014_R02_label_13.npy,4.909015585937535
K04_A014_R03,K04_A014_R03_label_13.npy,20.61854339919091
K04_A014_R04,K04_A014_R04_label_13.npy,3.0561425438906253
K04_A015_R01,K04_A015_R01_label_14.npy,21.116493259425187
K04_A015_R02,K04_A015_R02_label_14.npy,19.50936720694326
K04_A015_R03,K04_A015_R03_label_14.npy,12.303119586055015
